candidate,perf_status,quality_status,quality_policy,case,width,height,iterations,avg_wall_ms,avg_fps,avg_cpu_setup_ms,avg_source_copy_ms,avg_command_buffer_ms,avg_output_copy_ms,avg_pass_count,threadgroup,diffusion_group_size,scanner_image_storage,blur_backend,blur_downsample,intermediate_precision,diffusion_cluster_sigma,halation_grouped_tail,scanner_mps,grain_blur_recurrence,dir_tail_backend,source_format,destination_format,host_layout,grain_synthesis_sampler,grain_synthesis_radius_lut,grain_synthesis_target_storage,grain_synthesis_cell_mode,avg_private_scratch_alloc_bytes,avg_private_scratch_alloc_count,avg_scratch_alloc_bytes,avg_scratch_alloc_count,avg_shared_scratch_alloc_bytes,avg_shared_scratch_alloc_count,avg_static_alloc_bytes,avg_static_alloc_count,avg_upload_bytes,camera_diffusion,destination_no_copy,dir,final_post_process,halation,mean_luma,pass_gpu_timing,pass_timing_mode,print_diffusion,private_scratch,production_grain,returncode,source_no_copy,stderr_log,stdout_log
baseline,OK,PASSED,exact,dir-only,1920,1080,5,35.449,28.21,0.039,0.0,35.385,0.0,8.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,scanner-only,1920,1080,5,7.082,141.197,0.035,0.0,7.036,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.277,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,scanner-glare,1920,1080,5,10.735,93.157,0.037,0.0,10.673,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,all-effects,1920,1080,5,499.047,2.004,0.1,0.0,498.931,0.0,83.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4152.0,1.0,1.0,1.0,1.0,0.0,0.62,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_1920x1080.stdout.log
baseline,OK,PASSED,exact,default-final,3840,2160,5,58.425,17.116,0.06,0.0,58.338,0.0,5.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.646,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,production-grain,3840,2160,5,183.674,5.444,0.079,0.0,183.567,0.0,11.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.643,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,enlarged-production-grain,3840,2160,5,200.136,4.997,0.084,0.0,200.02,0.0,12.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.703,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,production-grain-no-sublayers,3840,2160,5,104.962,9.527,0.047,0.0,104.894,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,production-grain-no-blur,3840,2160,5,79.535,12.573,0.052,0.0,79.458,0.0,7.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.642,0.0,off,0.0,1.0,1.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,auto-exposure,3840,2160,5,33.37,29.967,0.54,0.0,32.802,0.0,4.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.419,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,halation-only,3840,2160,5,127.062,7.87,0.08,0.0,126.951,0.0,21.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,halation-boost,3840,2160,5,132.664,7.538,0.055,0.0,132.584,0.0,24.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,1.0,0.648,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,camera-diffusion-only,3840,2160,5,2111.191,0.474,0.061,0.0,2111.108,0.0,60.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,1.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,print-diffusion-only,3840,2160,5,2110.642,0.474,0.069,0.0,2110.553,0.0,61.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1032.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,1.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,dir-only,3840,2160,5,268.946,3.718,0.054,0.0,268.868,0.0,8.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3704.0,0.0,1.0,1.0,1.0,0.0,0.621,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,scanner-only,3840,2160,5,27.042,36.98,0.046,0.0,26.97,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.277,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
baseline,OK,PASSED,exact,scanner-glare,3840,2160,5,40.63,24.612,0.051,0.0,40.556,0.0,9.0,auto,1,buffer,custom,off,float,off,0.0,0.0,0.0,fused,float,float,contiguous,r2,512,float-buffer,offset-list,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,584.0,0.0,1.0,0.0,1.0,0.0,0.647,0.0,off,0.0,1.0,0.0,0,1.0,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stderr.log,/Volumes/Discordia/perf_run/combo_round2_512/baseline/perf_all_3840x2160.stdout.log
